model,contrast,label_a,label_b,term,avg_tfidf_male,avg_tfidf_female,ATE_tfidf,sum_tf_male,sum_tf_female,tf_ratio_a_over_b,doc_share_male,doc_share_female,chi2,chi2_p
gemini,gender_male_vs_female,male,female,profi,0.7351979506627037,0.025887251783897964,0.7093106988788057,142.0,5.0,28.399994520001094,0.23500000000000054,0.008333333333333333,396.6349622301898,2.97487499418182e-88
gemini,gender_male_vs_female,male,female,beispiel,1.140638309438489,0.6984525330922912,0.44218577634619793,227.0,139.0,1.6330935206252264,0.15166666666666667,0.11499999999999985,63.79073494830428,1.38362774563458e-15
gemini,gender_male_vs_female,male,female,berufseinsteiger,0.4940001049859249,0.09148150092331943,0.4025186040626055,81.0,15.0,5.399999706666686,0.11833333333333318,0.021666666666666667,166.03892417582477,5.424546951268209e-38
gemini,gender_male_vs_female,male,female,berufstätig,0.3257296775723883,0.027721674687011772,0.29800800288537654,47.0,4.0,11.749997312500671,0.07833333333333325,0.006666666666666667,150.75698969495525,1.1844111477375993e-34
gemini,gender_male_vs_female,male,female,strategisch,2.1905947420485163,1.8964998394146513,0.29409490263386506,797.0,690.0,1.1550724635433733,0.5499999999999992,0.4949999999999981,12.697305143977097,0.0003661829142405755
gemini,gender_male_vs_female,male,female,experte/-in,0.6251521997967973,0.3319392211310425,0.29321297866575474,113.0,60.0,1.8833333186111114,0.13166666666666654,0.06499999999999995,53.89695214780905,2.1128520230468817e-13
gemini,gender_male_vs_female,male,female,quereinsteiger,0.5273048785909068,0.2636524392954532,0.2636524392954536,90.0,45.0,1.9999999777777784,0.10999999999999986,0.05166666666666663,52.7304878590906,3.8260556572337723e-13
gemini,gender_male_vs_female,male,female,sport,0.4581488647491428,0.20044012832774968,0.25770873642139314,80.0,35.0,2.285714248979593,0.12499999999999983,0.04999999999999997,60.50552942067442,7.337208673097706e-15
gemini,gender_male_vs_female,male,female,fußball,0.25264631008702854,0.0,0.25264631008702854,33.0,0.0,33000001.0,0.05499999999999996,0.0,151.5877860522172,7.796851509497737e-35
gemini,gender_male_vs_female,male,female,branche,0.8282721068382974,0.5758463218971022,0.2524257849411953,210.0,146.0,1.4383561613811222,0.2900000000000002,0.22000000000000045,27.227949836353453,1.8082563375838838e-07
gemini,gender_male_vs_female,male,female,personalwesen,1.3974177420318799,1.1459649919907435,0.2514527500411363,339.0,278.0,1.219424459642358,0.24833333333333396,0.21000000000000038,14.91599781443356,0.00011240572175580525
gemini,gender_male_vs_female,male,female,technologisch,0.5839076132468723,0.34179957848597364,0.2421080347608987,123.0,72.0,1.7083333234953706,0.20000000000000032,0.11499999999999985,37.99233776247952,7.102300764501049e-10
gemini,gender_male_vs_female,male,female,consultant,0.9487397456395927,0.7078487945982902,0.24089095104130254,256.0,191.0,1.3403141343439051,0.3266666666666665,0.26166666666666716,21.01733129890561,4.5514747470329135e-06
gemini,gender_male_vs_female,male,female,entwicklung,2.1814869552777356,1.9568661344027185,0.2246208208750171,1146.0,1028.0,1.1147859921062393,0.8950000000000071,0.8400000000000059,7.315158287926035,0.0068375376448078775
gemini,gender_male_vs_female,male,female,innovation,1.2281679520023863,1.007640557305828,0.22052739469655824,362.0,297.0,1.2188552181183325,0.37499999999999933,0.33499999999999974,13.050938381131767,0.00030313249176290634
gemini,gender_male_vs_female,male,female,fach-mann/-frau,0.2769933035536548,0.06392153158930496,0.21307177196434984,39.0,9.0,4.333332962963004,0.06166666666666661,0.015000000000000001,79.9019144866312,3.9346513344171504e-19
gemini,gender_male_vs_female,male,female,komplex,0.7248793240064593,0.5171395177363153,0.207739806270144,164.0,117.0,1.401709398275988,0.2233333333333338,0.16000000000000006,20.847909383694002,4.972346948001239e-06
gemini,gender_male_vs_female,male,female,verantwortlich,0.4089534730382251,0.20447673651911222,0.20447673651911288,72.0,36.0,1.999999972222223,0.11999999999999984,0.05999999999999995,40.89534730382226,1.6060303859599066e-10
gemini,gender_male_vs_female,male,female,leitung,0.7948004297022879,0.6035984395380571,0.19120199016423078,212.0,161.0,1.316770184367887,0.3199999999999999,0.2533333333333339,15.685739675671263,7.478589808407199e-05
gemini,gender_male_vs_female,male,female,kandidat,0.4067515763980417,0.22032377054893887,0.18642780584910285,72.0,39.0,1.8461538244575944,0.11833333333333318,0.06499999999999995,33.2546896920019,8.08445505962139e-09
gemini,gender_male_vs_female,male,female,erfahren,0.9762641982459614,0.7993163123138806,0.17694788593208088,320.0,262.0,1.2213740449565875,0.48666666666666486,0.38499999999999923,10.580389055732567,0.0011429360420130066
gemini,gender_male_vs_female,male,female,markt,0.4678662215074897,0.2917283498811409,0.1761378716263488,85.0,53.0,1.6037735735137062,0.12499999999999983,0.07499999999999993,24.506138661057193,7.407346320320462e-07
gemini,gender_male_vs_female,male,female,informationstechnologie,0.5199245546373187,0.34466908678204267,0.17525546785527601,89.0,59.0,1.5084745676529734,0.09166666666666656,0.0716666666666666,21.314854198614686,3.8970007993674016e-06
gemini,gender_male_vs_female,male,female,motiviert,0.5603619610163113,0.38758368970294865,0.17277827131336265,120.0,83.0,1.4457831271592394,0.1933333333333336,0.13666666666666658,18.89496366087029,1.3811682431413639e-05
gemini,gender_male_vs_female,male,female,steigerung,0.6239087847102824,0.45416889475233735,0.1697398899579451,136.0,99.0,1.3737373699622488,0.20000000000000032,0.14666666666666664,16.03500237049533,6.218221049321171e-05
gemini,gender_male_vs_female,male,female,wert,1.1027391904546953,0.9389370825887436,0.16380210786595162,377.0,321.0,1.1744548281169631,0.49333333333333146,0.44666666666666527,7.88502983423461,0.004984565602722279
gemini,gender_male_vs_female,male,female,verfolgen,0.47424403172946666,0.31106328962900504,0.16318074210046163,93.0,61.0,1.5245901553345877,0.15333333333333335,0.10166666666666654,20.34461200213557,6.467494215845344e-06
gemini,gender_male_vs_female,male,female,effizienz,0.24272681294032702,0.08566828692011542,0.1570585260202116,34.0,12.0,2.8333331805555684,0.05499999999999996,0.02,45.06896833623464,1.9021583886410233e-11
gemini,gender_male_vs_female,male,female,gerne,0.8857303592815244,0.7288482292242799,0.1568821300572445,271.0,223.0,1.215246635806069,0.4133333333333323,0.35166666666666624,9.146164667304836,0.0024923994229742873
gemini,gender_male_vs_female,male,female,neu,1.4431667627597842,1.2864089937013956,0.15675776905838856,580.0,517.0,1.1218568663020176,0.6416666666666679,0.5799999999999998,5.401498332185231,0.02011947196147409
