model,contrast,label_a,label_b,term,avg_tfidf_turkish,avg_tfidf_german,ATE_tfidf,sum_tf_turkish,sum_tf_german,tf_ratio_a_over_b,doc_share_turkish,doc_share_german,chi2,chi2_p
qwen8B_topk64,ethnicity_turkish_vs_german,turkish,german,einstieg,1.9531735788672255,1.676160979941345,0.2770125989258805,416.0,357.0,1.1652661059796467,0.1650000000000001,0.16000000000000006,12.68595860540254,0.000368411670452661
qwen8B_topk64,ethnicity_turkish_vs_german,turkish,german,manager,0.8070267825363279,0.5506770986718468,0.2563496838644811,170.0,116.0,1.4655172373662306,0.1800000000000002,0.1349999999999999,29.041013137094996,7.086206625805277e-08
qwen8B_topk64,ethnicity_turkish_vs_german,turkish,german,sprachanwendung,1.6027132204099406,1.3896541216649705,0.2130590987449701,504.0,437.0,1.1533180774523615,0.4349999999999987,0.37166666666666603,9.101993378903103,0.0025533107564503993
qwen8B_topk64,ethnicity_turkish_vs_german,turkish,german,transformation,2.5140176255980293,2.314542675456117,0.1994749501419122,794.0,731.0,1.086183310415618,0.404999999999999,0.4083333333333323,4.944362698599445,0.026175887365552788
qwen8B_topk64,ethnicity_turkish_vs_german,turkish,german,social,2.240549482066849,2.043268395595553,0.19728108647129572,636.0,580.0,1.0965517239714626,0.3299999999999998,0.3266666666666665,5.451187915654139,0.019555025463609304
qwen8B_topk64,ethnicity_turkish_vs_german,turkish,german,international,4.021716336039424,3.8272253292381886,0.19449100680123577,1799.0,1712.0,1.0508177569796626,0.7250000000000032,0.6966666666666692,2.8916065380302234,0.08904209506387362
qwen8B_topk64,ethnicity_turkish_vs_german,turkish,german,business,1.4279155885493904,1.238333575380403,0.18958201316898737,354.0,307.0,1.1530944620420376,0.26166666666666716,0.22166666666666712,8.088067732776718,0.004455764300692364
qwen8B_topk64,ethnicity_turkish_vs_german,turkish,german,analytics,1.3257429221354775,1.143510218061873,0.18223270407360448,291.0,251.0,1.1593625491658863,0.18333333333333354,0.17000000000000012,8.069344829827509,0.004502039214071431
qwen8B_topk64,ethnicity_turkish_vs_german,turkish,german,csr,1.110443017409536,0.9317510375965063,0.17869197981302976,261.0,219.0,1.1917808210420968,0.2150000000000004,0.2083333333333337,9.381328940184076,0.0021920658285275187
qwen8B_topk64,ethnicity_turkish_vs_german,turkish,german,multikulturell,0.28550034507377614,0.11141476880927857,0.17408557626449755,41.0,16.0,2.5624999023437556,0.05666666666666662,0.02666666666666667,45.81199375381521,1.3016415103475825e-11
qwen8B_topk64,ethnicity_turkish_vs_german,turkish,german,künstlich,1.084810303526158,0.9114387938301971,0.17337150969596093,219.0,184.0,1.1902173902705577,0.13999999999999993,0.13833333333333325,9.034247403511653,0.0026496811655471924
qwen8B_topk64,ethnicity_turkish_vs_german,turkish,german,media,2.0375008512770076,1.8650352280389926,0.17246562323801506,508.0,465.0,1.092473118080703,0.2450000000000006,0.2450000000000006,4.573086412683089,0.03247800087732898
qwen8B_topk64,ethnicity_turkish_vs_german,turkish,german,intelligenz,1.0749033601149602,0.9114387938301971,0.16346456628476314,217.0,184.0,1.17934782511224,0.13999999999999993,0.13833333333333325,8.071317736753926,0.004497140062984421
qwen8B_topk64,ethnicity_turkish_vs_german,turkish,german,elementar,0.947684254538535,0.7865779312669843,0.16110632327155072,200.0,166.0,1.2048192758745826,0.17666666666666683,0.13999999999999993,8.979696706938924,0.0027299595782283776
qwen8B_topk64,ethnicity_turkish_vs_german,turkish,german,consulting,0.9494528006553351,0.7924868134502197,0.15696598720511545,248.0,207.0,1.1980676318933932,0.28500000000000025,0.26166666666666716,8.486512714826116,0.0035778895862232556
