model,contrast,label_a,label_b,term,avg_tfidf_german,avg_tfidf_turkish,ATE_tfidf,sum_tf_german,sum_tf_turkish,tf_ratio_a_over_b,doc_share_german,doc_share_turkish,chi2,chi2_p
qwen14B_topk64,ethnicity_german_vs_turkish,german,turkish,muttersprache,2.1775317420348386,1.7707698973209858,0.4067618447138528,803.0,653.0,1.229709034870277,0.585,0.48333333333333156,25.14324589577405,5.322574168497479e-07
qwen14B_topk64,ethnicity_german_vs_turkish,german,turkish,marketing,4.595183857507597,4.220141117948734,0.3750427395588627,1262.0,1159.0,1.0888697151951081,0.3066666666666667,0.30500000000000005,9.573581703732785,0.0019739729063343826
qwen14B_topk64,ethnicity_german_vs_turkish,german,turkish,bayern,0.7284705493212047,0.4529592518215183,0.2755112974996864,156.0,97.0,1.6082474164098204,0.19666666666666696,0.13333333333333322,38.54980210074673,5.337418112466757e-10
qwen14B_topk64,ethnicity_german_vs_turkish,german,turkish,fach-mann/-frau,0.45623869629475555,0.19058072123705017,0.2656579750577054,79.0,33.0,2.3939393516988074,0.11833333333333318,0.05166666666666663,65.46571528207781,5.913380285507753e-16
qwen14B_topk64,ethnicity_german_vs_turkish,german,turkish,grundkenntnisse,1.1495146622144525,0.8969307229834736,0.2525839392309789,223.0,174.0,1.2816091937838552,0.14333333333333328,0.10333333333333321,18.705208597961676,1.5256517502270355e-05
qwen14B_topk64,ethnicity_german_vs_turkish,german,turkish,neu,1.2364906848962136,0.9898170381618685,0.2466736467343451,396.0,317.0,1.2492113556807212,0.4349999999999987,0.3999999999999991,16.3987810030966,5.131822223146895e-05
qwen14B_topk64,ethnicity_german_vs_turkish,german,turkish,logistik,0.5126365986514769,0.2734061859474545,0.2392304127040224,75.0,40.0,1.8749999781250006,0.05499999999999996,0.034999999999999996,43.68555362421277,3.8560773323995286e-11
qwen14B_topk64,ethnicity_german_vs_turkish,german,turkish,nürnberg,0.7766734979372519,0.5600502774241408,0.21662322051311111,147.0,106.0,1.3867924491812034,0.1216666666666665,0.10666666666666653,21.06296926728286,4.444344588167118e-06
qwen14B_topk64,ethnicity_german_vs_turkish,german,turkish,sprache,2.5646503161498186,2.3658619182823113,0.19878839786750735,916.0,845.0,1.084023668539617,0.516666666666665,0.49666666666666476,4.8088505105938175,0.02831392583492863
qwen14B_topk64,ethnicity_german_vs_turkish,german,turkish,zeitraum,0.35913328609044604,0.16575382434943664,0.1933794617410094,39.0,18.0,2.1666666018518552,0.015000000000000001,0.006666666666666667,42.74703891117049,6.229611230194574e-11
qwen14B_topk64,ethnicity_german_vs_turkish,german,turkish,analytics,1.5009359257188897,1.3156351941486555,0.1853007315702342,405.0,355.0,1.1408450700257886,0.29833333333333345,0.2900000000000002,7.31450256198279,0.00684003301543544
qwen14B_topk64,ethnicity_german_vs_turkish,german,turkish,data,2.0928073361035584,1.9128650230927844,0.179942313010774,535.0,489.0,1.0940695294599805,0.2733333333333337,0.24666666666666728,4.8500076553685645,0.027646009554891247
qwen14B_topk64,ethnicity_german_vs_turkish,german,turkish,stuttgart,0.5766679026308482,0.4077449816581754,0.1689229209726728,99.0,70.0,1.414285708367347,0.09833333333333322,0.06666666666666661,17.392064052807754,3.0409299503494735e-05
qwen14B_topk64,ethnicity_german_vs_turkish,german,turkish,umsetzung,1.943854954262866,1.7754568245352809,0.16839812972758517,935.0,854.0,1.094847775064581,0.7766666666666711,0.7850000000000046,4.574706039553198,0.03244731256832853
qwen14B_topk64,ethnicity_german_vs_turkish,german,turkish,markt,0.379594565987629,0.2131057212562128,0.16648884473141617,57.0,32.0,1.7812499755859383,0.06166666666666661,0.03833333333333332,28.059917651362273,1.1761680406999441e-07
qwen14B_topk64,ethnicity_german_vs_turkish,german,turkish,fairness,0.3253287414924559,0.15947487328061563,0.16585386821184026,51.0,25.0,2.0399999584000015,0.07666666666666659,0.04166666666666665,34.04368873821984,5.388841419577438e-09
qwen14B_topk64,ethnicity_german_vs_turkish,german,turkish,sozial,2.0440824603743977,1.879616055516689,0.1644664048577087,696.0,640.0,1.0874999998632813,0.45666666666666517,0.47666666666666496,4.136280840732808,0.04197329207802444
qwen14B_topk64,ethnicity_german_vs_turkish,german,turkish,st,0.20952403340809267,0.04656089631290946,0.1629631370951832,27.0,6.0,4.499999416666764,0.043333333333333314,0.008333333333333333,62.22228870906986,3.0679583610945107e-15
