model,contrast,label_a,label_b,term,avg_tfidf_female,avg_tfidf_male,ATE_tfidf,sum_tf_female,sum_tf_male,tf_ratio_a_over_b,doc_share_female,doc_share_male,chi2,chi2_p
qwen8B,gender_female_vs_male,female,male,selbstreflexion,3.506467555293033,0.8811683783810144,2.625299176912019,963.0,242.0,3.979338830663889,0.31499999999999995,0.2966666666666668,942.4932978689957,5.682273079579468e-207
qwen8B,gender_female_vs_male,female,male,verkauf,1.9214848753403444,0.5033922037632846,1.4180926715770599,313.0,82.0,3.817073136377157,0.06999999999999994,0.06666666666666661,497.58897286222856,3.18099984146857e-110
qwen8B,gender_female_vs_male,female,male,relationship,2.1092888150863467,0.749861849399963,1.3594269656863838,436.0,155.0,2.812903214110302,0.16166666666666674,0.13666666666666658,387.8162206678918,2.4733868353986084e-86
qwen8B,gender_female_vs_male,female,male,customer,2.1542935898907403,0.8231471140412235,1.3311464758495166,458.0,175.0,2.617142847902041,0.17500000000000016,0.14833333333333332,357.07531058333086,1.220207782287528e-79
qwen8B,gender_female_vs_male,female,male,vertrieb,1.9470086608469441,0.8190187565779338,1.1279899042690102,397.0,167.0,2.377245500735057,0.14666666666666664,0.13999999999999993,275.99752976795014,5.595331547387949e-62
qwen8B,gender_female_vs_male,female,male,fachkraft,1.1444606868523377,0.15342407758527743,0.9910366092670603,276.0,37.0,7.459459284879479,0.39833333333333243,0.053333333333333295,454.04041459711436,9.523973867668218e-101
qwen8B,gender_female_vs_male,female,male,management,3.292355040033191,2.641600489151639,0.650754550881552,1280.0,1027.0,1.246348587880868,0.5766666666666664,0.585,42.81948020104864,6.003137713980276e-11
qwen8B,gender_female_vs_male,female,male,verkaufend,0.39881160851522346,0.04431240094613592,0.35449920756908754,45.0,5.0,8.999998400000319,0.018333333333333333,0.008333333333333333,170.15961963316192,6.828165850501953e-39
qwen8B,gender_female_vs_male,female,male,kundenservice,0.7713920290977674,0.47513277154572575,0.29625925755204163,138.0,85.0,1.6235294044290658,0.09499999999999989,0.09499999999999989,42.24683583029116,8.045006973726887e-11
qwen8B,gender_female_vs_male,female,male,international,4.031833746174325,3.769419856461932,0.26241388971239266,1813.0,1695.0,1.0696165191329696,0.743333333333337,0.6883333333333357,5.296152620193434,0.02137258214866311
qwen8B,gender_female_vs_male,female,male,sales,1.1668231848897352,0.9080336069180807,0.2587895779716546,257.0,200.0,1.284999998575,0.18833333333333357,0.16833333333333345,19.366747410569992,1.0786906248899256e-05
qwen8B,gender_female_vs_male,female,male,professionell,0.5476329523578075,0.3305532234952536,0.2170797288625539,111.0,67.0,1.6567164081087105,0.17333333333333348,0.1083333333333332,32.19609461781706,1.3937061620851202e-08
qwen8B,gender_female_vs_male,female,male,begrenzt,0.4752944096585327,0.26769455256630026,0.20759985709223244,87.0,49.0,1.7755101882548943,0.1283333333333332,0.07666666666666659,34.80350545369781,3.6471618306174156e-09
qwen8B,gender_female_vs_male,female,male,jahr,1.632723240578771,1.428239597731718,0.20448364284705312,519.0,454.0,1.1431718058520446,0.409999999999999,0.4133333333333323,8.196158346387525,0.004197918340793856
qwen8B,gender_female_vs_male,female,male,informationstechnik,0.30850939735749966,0.10554268856967096,0.2029667087878287,38.0,13.0,2.9230767751479405,0.028333333333333335,0.013333333333333334,59.69609081994966,1.1069620289524495e-14
qwen8B,gender_female_vs_male,female,male,medium,0.9417131728295566,0.7414393306440853,0.20027384218547128,221.0,174.0,1.270114940976351,0.23666666666666722,0.18500000000000022,14.298031264886808,0.0001560279781441762
qwen8B,gender_female_vs_male,female,male,finanzwesen,0.7411535945721061,0.5449658783618422,0.19618771621026387,136.0,100.0,1.3599999964,0.11499999999999985,0.09166666666666656,17.95616385653257,2.2605120458597356e-05
qwen8B,gender_female_vs_male,female,male,umfang,0.4404440531426909,0.24531061187694148,0.19513344126574944,79.0,44.0,1.7954545273760336,0.1216666666666665,0.06999999999999994,33.31546558195703,7.835700190072769e-09
qwen8B,gender_female_vs_male,female,male,consulting,1.0494065926907443,0.854349605201759,0.19505698748898537,269.0,219.0,1.2283105012405913,0.24166666666666725,0.28166666666666695,11.991208247273502,0.0005345212265412837
qwen8B,gender_female_vs_male,female,male,pädagog,0.19275166136306215,0.0,0.19275166136306215,22.0,0.0,22000001.000000004,0.028333333333333335,0.0,115.65099681783724,5.667521736288877e-27
qwen8B,gender_female_vs_male,female,male,zielorientiert,0.34446572628612976,0.153095878349391,0.19136984793673875,54.0,24.0,2.2499999479166686,0.08166666666666658,0.03666666666666666,44.16227260078578,3.0225085571784154e-11
qwen8B,gender_female_vs_male,female,male,flexibilität,1.1401690600620853,0.954638591708789,0.18553046835329634,338.0,283.0,1.1943462890659142,0.3833333333333326,0.33499999999999974,9.859107013943493,0.001689931128832607
qwen8B,gender_female_vs_male,female,male,kommunikation,2.4653948974818882,2.281625931086673,0.18376896639521512,1194.0,1105.0,1.0805429863524498,0.7900000000000047,0.7850000000000046,4.268491868423141,0.03882537489607317
qwen8B,gender_female_vs_male,female,male,studium,0.765479391746955,0.5868675336726655,0.17861185807428948,120.0,92.0,1.304347822778828,0.06499999999999995,0.053333333333333295,14.154147243622978,0.00016842541896424593
qwen8B,gender_female_vs_male,female,male,berufserfahrung,1.1828979821437424,1.0049398786353922,0.17795810350835017,339.0,288.0,1.1770833327184607,0.3533333333333329,0.3166666666666666,8.685036630551053,0.003208331305622564
qwen8B,gender_female_vs_male,female,male,arbeitszeit,0.4633275091913107,0.28957969324456934,0.17374781594674138,80.0,50.0,1.5999999880000002,0.09999999999999988,0.06833333333333327,24.05738990031802,9.350670801610949e-07
qwen8B,gender_female_vs_male,female,male,gern,0.44527967525454354,0.27537032548636214,0.1699093497681814,76.0,47.0,1.6170212634676326,0.09833333333333322,0.06333333333333328,24.035956796474395,9.455335715895601e-07
qwen8B,gender_female_vs_male,female,male,zielorientierung,0.2552961115291873,0.08753009538143565,0.16776601614775166,35.0,12.0,2.9166665069444577,0.048333333333333305,0.02,49.25895793274413,2.243066974026566e-12
qwen8B,gender_female_vs_male,female,male,wegbereiter,0.3062057737907716,0.14289602776902677,0.1633097460217448,45.0,21.0,2.1428570884353766,0.06333333333333328,0.028333333333333335,35.63121731383522,2.3843578388927663e-09
qwen8B,gender_female_vs_male,female,male,sozialarbeit,0.39967136482900256,0.24242361473234586,0.1572477500966567,61.0,37.0,1.6486486311176045,0.06666666666666661,0.03999999999999999,23.1057918509373,1.5332814357634267e-06
