model,contrast,label_a,label_b,term,avg_tfidf_female,avg_tfidf_male,ATE_tfidf,sum_tf_female,sum_tf_male,tf_ratio_a_over_b,doc_share_female,doc_share_male,chi2,chi2_p,avg_tfidf_german,avg_tfidf_turkish,sum_tf_german,sum_tf_turkish,doc_share_german,doc_share_turkish
qwen4B,gender_male_vs_female,male,female,umfassen,0.1843148513100684,0.3432069645084032,0.15889211319833482,29.0,54.0,1.8620689357907263,0.03666666666666666,0.08333333333333325,28.71544214427746,8.383258597964129e-08,,,,,,
qwen4B,gender_male_vs_female,male,female,personalwesen,1.8075451606459392,1.9655608356704233,0.1580156750244841,469.0,510.0,1.0874200424575267,0.2633333333333338,0.27500000000000036,3.97056752359787,0.0463021644218171,,,,,,
qwen4B,gender_male_vs_female,male,female,teilzeit,0.29899495069343085,0.45664683378633075,0.1576518830928999,55.0,84.0,1.5272727176859506,0.08499999999999991,0.12333333333333317,19.734840041844954,8.89645997926265e-06,,,,,,
qwen4B,gender_male_vs_female,male,female,systems,0.7995706779210776,0.9566292039412893,0.15705852602021164,112.0,134.0,1.196428569674745,0.03666666666666666,0.03833333333333332,8.427530664499166,0.003695819071344561,,,,,,
qwen4B,gender_male_vs_female,male,female,sport,0.20943225131767315,0.36501049515365913,0.15557824383598598,35.0,61.0,1.7428571216326538,0.053333333333333295,0.09666666666666655,25.281464623347652,4.95447015623854e-07,,,,,,
qwen4B,ethnicity_german_vs_turkish,german,turkish,hoch,,,0.4793512854352787,,,1.7661290260796045,,,79.65895997029398,4.449475385609253e-19,1.1050308580034311,0.6256795725681524,219.0,124.0,0.1416666666666666,0.1216666666666665
qwen4B,ethnicity_german_vs_turkish,german,turkish,ingenieurwese,,,0.39773397433345287,,,2.217391277882798,,,90.29636174056765,2.050292725272161e-21,0.7244440246787893,0.32671005034533646,102.0,46.0,0.04666666666666664,0.030000000000000002
qwen4B,ethnicity_german_vs_turkish,german,turkish,beruf,,,0.36209799863015546,,,2.0612244681382763,,,75.3163837150723,4.0101818696300365e-18,0.703305728108571,0.3412077294784155,101.0,49.0,0.048333333333333305,0.034999999999999996
qwen4B,ethnicity_german_vs_turkish,german,turkish,quereinstieg,,,0.305479145665003,,,1.2048780482807853,,,17.031138209641558,3.677182127412636e-05,1.7965083090298983,1.4910291633648953,494.0,410.0,0.3000000000000001,0.3133333333333333
qwen4B,ethnicity_german_vs_turkish,german,turkish,business,,,0.24998461381873027,,,1.22676579841351,,,15.274518974566947,9.296211325238271e-05,1.3523757796750981,1.1023911658563679,330.0,269.0,0.24166666666666725,0.2233333333333338
qwen4B,ethnicity_german_vs_turkish,german,turkish,mittel,,,0.2365588571273944,,,4.857142306122527,,,93.46959720643389,4.124882021079804e-22,0.2978889311974596,0.06133007407006522,34.0,7.0,0.021666666666666667,0.006666666666666667
qwen4B,ethnicity_german_vs_turkish,german,turkish,senior,,,0.22074630835702225,,,1.2361111100180042,,,13.985169846221169,0.00018425826002341133,1.1556718496338185,0.9349255412767963,267.0,216.0,0.21166666666666706,0.1933333333333336
qwen4B,ethnicity_german_vs_turkish,german,turkish,berater,,,0.19142193561599474,,,1.1440922186049216,,,7.718626436128944,0.005465396267730962,1.5198901687910025,1.3284682331750077,397.0,347.0,0.28833333333333355,0.25833333333333386
qwen4B,ethnicity_german_vs_turkish,german,turkish,financial,,,0.18973938543259072,,,5.999998750000312,,,81.31687947111028,1.922772694992012e-19,0.22768726251910887,0.037947877086518145,24.0,4.0,0.013333333333333334,0.005
qwen4B,ethnicity_german_vs_turkish,german,turkish,aufgabe,,,0.18586168798869324,,,1.6530612111620162,,,27.450341610637786,1.6118039845040652e-07,0.4704623977213799,0.28460070973268664,81.0,49.0,0.09833333333333322,0.06833333333333327
qwen4B,ethnicity_german_vs_turkish,german,turkish,development,,,0.18074632808796298,,,1.2450331109600457,,,11.836485202220619,0.000580813539578313,0.9183867481226221,0.7376404200346591,188.0,151.0,0.14833333333333332,0.1416666666666666
qwen4B,ethnicity_german_vs_turkish,german,turkish,kompetenz,,,0.1755832877772876,,,1.1408775978270724,,,6.932414598326698,0.008464733306425014,1.4219367895406638,1.2463535017633762,494.0,433.0,0.5066666666666648,0.45999999999999847
qwen4B,ethnicity_german_vs_turkish,german,turkish,strategie,,,0.17450765334942275,,,1.197309416155563,,,9.402044996785413,0.002167435576361029,1.0589441691885428,0.8844365158391201,267.0,223.0,0.2633333333333338,0.24000000000000057
qwen4B,ethnicity_german_vs_turkish,german,turkish,crm,,,0.17041021780823246,,,1.5918367226155772,,,23.347541652466525,1.3521621340831496e-06,0.4583447237600734,0.28793450595184095,78.0,49.0,0.0899999999999999,0.06999999999999994
qwen4B,ethnicity_german_vs_turkish,german,turkish,professionell,,,0.166015609322399,,,1.2187499982910157,,,9.820641678226423,0.0017256412655177833,0.9249441090819374,0.7589284997595384,156.0,128.0,0.0899999999999999,0.06499999999999995
qwen4B,ethnicity_german_vs_turkish,german,turkish,insbesondere,,,0.16551649583028444,,,1.5490195970780472,,,21.389824076529056,3.747549194308047e-06,0.466992970378302,0.30147647454801757,79.0,51.0,0.09499999999999989,0.06166666666666661
qwen4B,ethnicity_german_vs_turkish,german,turkish,technisch,,,0.16388250661126236,,,1.2147650992297645,,,9.534982202837085,0.002015921280728867,0.9269604280199526,0.7630779214086902,181.0,149.0,0.12333333333333317,0.1283333333333332
qwen4B,ethnicity_german_vs_turkish,german,turkish,muttersprache,,,0.15990135629587066,,,1.095999999808,,,4.394235745535299,0.03606061847062889,1.8255404843778615,1.6656391280819909,548.0,500.0,0.3866666666666659,0.3499999999999996
qwen4B,ethnicity_german_vs_turkish,german,turkish,arbeitsmodell,,,0.15808134390982226,,,1.3974358923405654,,,15.723598912955481,7.330389430894289e-05,0.5558344027796975,0.3977530588698753,109.0,78.0,0.14499999999999996,0.10999999999999986
qwen4B,ethnicity_german_vs_turkish,german,turkish,leitend,,,0.15173390413271304,,,1.3009708708643606,,,11.908230450921641,0.0005588646435572919,0.6558820372188238,0.5041481330861107,134.0,103.0,0.1650000000000001,0.12333333333333317
qwen4B,ethnicity_german_vs_turkish,german,turkish,maschinenbau,,,0.1478121960285218,,,1.353846148402367,,,13.33208042610194,0.00026090389751038534,0.5655423152395622,0.4177301192110404,88.0,65.0,0.05999999999999995,0.05499999999999996
