model,contrast,label_a,label_b,term,avg_tfidf_german,avg_tfidf_turkish,ATE_tfidf,sum_tf_german,sum_tf_turkish,tf_ratio_a_over_b,doc_share_german,doc_share_turkish,chi2,chi2_p
qwen4B,ethnicity_german_vs_turkish,german,turkish,hoch,1.1050308580034311,0.6256795725681524,0.4793512854352787,219.0,124.0,1.7661290260796045,0.1416666666666666,0.1216666666666665,79.65895997029398,4.449475385609253e-19
qwen4B,ethnicity_german_vs_turkish,german,turkish,ingenieurwese,0.7244440246787893,0.32671005034533646,0.39773397433345287,102.0,46.0,2.217391277882798,0.04666666666666664,0.030000000000000002,90.29636174056765,2.050292725272161e-21
qwen4B,ethnicity_german_vs_turkish,german,turkish,beruf,0.703305728108571,0.3412077294784155,0.36209799863015546,101.0,49.0,2.0612244681382763,0.048333333333333305,0.034999999999999996,75.3163837150723,4.0101818696300365e-18
qwen4B,ethnicity_german_vs_turkish,german,turkish,quereinstieg,1.7965083090298983,1.4910291633648953,0.305479145665003,494.0,410.0,1.2048780482807853,0.3000000000000001,0.3133333333333333,17.031138209641558,3.677182127412636e-05
qwen4B,ethnicity_german_vs_turkish,german,turkish,business,1.3523757796750981,1.1023911658563679,0.24998461381873027,330.0,269.0,1.22676579841351,0.24166666666666725,0.2233333333333338,15.274518974566947,9.296211325238271e-05
qwen4B,ethnicity_german_vs_turkish,german,turkish,mittel,0.2978889311974596,0.06133007407006522,0.2365588571273944,34.0,7.0,4.857142306122527,0.021666666666666667,0.006666666666666667,93.46959720643389,4.124882021079804e-22
qwen4B,ethnicity_german_vs_turkish,german,turkish,senior,1.1556718496338185,0.9349255412767963,0.22074630835702225,267.0,216.0,1.2361111100180042,0.21166666666666706,0.1933333333333336,13.985169846221169,0.00018425826002341133
qwen4B,ethnicity_german_vs_turkish,german,turkish,berater,1.5198901687910025,1.3284682331750077,0.19142193561599474,397.0,347.0,1.1440922186049216,0.28833333333333355,0.25833333333333386,7.718626436128944,0.005465396267730962
qwen4B,ethnicity_german_vs_turkish,german,turkish,financial,0.22768726251910887,0.037947877086518145,0.18973938543259072,24.0,4.0,5.999998750000312,0.013333333333333334,0.005,81.31687947111028,1.922772694992012e-19
qwen4B,ethnicity_german_vs_turkish,german,turkish,aufgabe,0.4704623977213799,0.28460070973268664,0.18586168798869324,81.0,49.0,1.6530612111620162,0.09833333333333322,0.06833333333333327,27.450341610637786,1.6118039845040652e-07
qwen4B,ethnicity_german_vs_turkish,german,turkish,development,0.9183867481226221,0.7376404200346591,0.18074632808796298,188.0,151.0,1.2450331109600457,0.14833333333333332,0.1416666666666666,11.836485202220619,0.000580813539578313
