model,contrast,label_a,label_b,term,avg_tfidf_female,avg_tfidf_male,ATE_tfidf,sum_tf_female,sum_tf_male,tf_ratio_a_over_b,doc_share_female,doc_share_male,chi2,chi2_p
qwen8B_topk64,gender_female_vs_male,female,male,führend,1.218127160724979,0.10211844461167492,1.116008716113304,167.0,14.0,11.92857064795924,0.04499999999999998,0.023333333333333334,566.0198902718306,4.121950772321485e-125
qwen8B_topk64,gender_female_vs_male,female,male,fachkraft,1.184672003957897,0.1334841694600449,1.0511878344978522,284.0,32.0,8.874999753906259,0.3966666666666658,0.048333333333333305,502.9734195445402,2.1429794881899893e-111
qwen8B_topk64,gender_female_vs_male,female,male,vermittelnd,0.9085032510268054,0.06359522757187638,0.844908023454929,100.0,7.0,14.285712387755373,0.013333333333333334,0.01,440.6155860634116,7.951904884865335e-98
qwen8B_topk64,gender_female_vs_male,female,male,ausführend,0.8915102983888674,0.06792459416296136,0.823585704225906,105.0,8.0,13.12499848437519,0.02,0.013333333333333334,424.1830795216613,2.9988872821726983e-94
qwen8B_topk64,gender_female_vs_male,female,male,interagierend,0.9087242560042075,0.09824046010856294,0.8104837958956446,111.0,12.0,9.249999312500057,0.023333333333333334,0.016666666666666666,391.40436972521326,4.09397950008615e-87
qwen8B_topk64,gender_female_vs_male,female,male,delegierend,0.8869343944077759,0.07990399949619605,0.8070303949115798,111.0,10.0,11.0999989900001,0.028333333333333335,0.016666666666666666,404.18216472431186,6.7692669571152e-90
qwen8B_topk64,gender_female_vs_male,female,male,coachend,0.9687594929014238,0.1829126315268424,0.7858468613745815,143.0,27.0,5.296296137174217,0.05166666666666663,0.04166666666666665,321.7349503039467,6.06728847578392e-72
qwen8B_topk64,gender_female_vs_male,female,male,kreativ,2.076145544690399,1.534128921572754,0.5420166231176449,655.0,484.0,1.3533057843939964,0.4199999999999989,0.39166666666666583,48.82432443535644,2.7994627646910046e-12
qwen8B_topk64,gender_female_vs_male,female,male,fokussierend,0.5248871104398827,0.0368341831887637,0.488052927251119,57.0,4.0,14.249996687500827,0.015000000000000001,0.006666666666666667,254.42759158337037,2.813312219223823e-57
qwen8B_topk64,gender_female_vs_male,female,male,jahr,1.8821755681535184,1.4100787259763954,0.472096842177123,606.0,454.0,1.3348017613770886,0.4266666666666655,0.4166666666666656,40.61814340240828,1.8508014656678857e-10
qwen8B_topk64,gender_female_vs_male,female,male,menschenzentriert,0.980538251335355,0.5197388545329487,0.46079939680240634,183.0,97.0,1.886597929004145,0.1083333333333332,0.10999999999999986,84.91874598215819,3.108816772326674e-20
qwen8B_topk64,gender_female_vs_male,female,male,verantwortend,0.5639828888907605,0.15705852602021161,0.4069243628705489,79.0,22.0,3.590908973140501,0.04166666666666665,0.03333333333333333,137.79022980369064,8.099645339653332e-32
qwen8B_topk64,gender_female_vs_male,female,male,gestaltend,0.6322204337428685,0.297873088975005,0.33434734476786354,104.0,49.0,2.1224489566847153,0.0716666666666666,0.06999999999999994,72.11413318522507,2.0310389213372115e-17
qwen8B_topk64,gender_female_vs_male,female,male,beratend,0.6017104396364481,0.2745668996399323,0.3271435399965158,103.0,47.0,2.1914893363512906,0.09499999999999989,0.06833333333333327,73.28015295921945,1.1249341707352458e-17
qwen8B_topk64,gender_female_vs_male,female,male,studium,0.7289571862629969,0.40640975871299856,0.3225474275499983,113.0,63.0,1.7936507810531623,0.06333333333333328,0.04999999999999997,54.979675150567914,1.2178269758398658e-13
qwen8B_topk64,gender_female_vs_male,female,male,inclusion,1.0383808234141143,0.7284163985143788,0.3099644248997355,201.0,141.0,1.4255319118756602,0.1416666666666666,0.10333333333333321,32.627834199972185,1.1160496033487803e-08
qwen8B_topk64,gender_female_vs_male,female,male,betreuend,0.3964893604667404,0.08722765930268292,0.3092617011640575,50.0,11.0,4.545454223140525,0.030000000000000002,0.016666666666666666,118.63481651211393,1.2589956845300188e-27
qwen8B_topk64,gender_female_vs_male,female,male,kommunizierend,0.45317634144463625,0.17165770509266548,0.2815186363519708,66.0,25.0,2.6399999344000022,0.04999999999999997,0.03833333333333332,76.10284015668674,2.6926971850214865e-18
qwen8B_topk64,gender_female_vs_male,female,male,diversity,1.0352755864701695,0.7677881143678291,0.26748747210234036,209.0,155.0,1.3483870945265348,0.1566666666666667,0.1216666666666665,23.80932443987873,1.0636594330186824e-06
qwen8B_topk64,gender_female_vs_male,female,male,ausbildung,0.9379350146354922,0.689923352111684,0.24801166252380824,208.0,153.0,1.359477121833483,0.18500000000000022,0.1783333333333335,22.67142621408784,1.9220491082608013e-06
qwen8B_topk64,gender_female_vs_male,female,male,kundenorientierung,0.8051908068487797,0.6154861664917374,0.18970464035704238,191.0,146.0,1.3082191759711015,0.24000000000000057,0.1933333333333336,15.1988880998225,9.676037730883549e-05
qwen8B_topk64,gender_female_vs_male,female,male,pädagog,0.18837093221358586,0.0,0.18837093221358586,21.0,0.0,21000001.000000004,0.025,0.0,113.02255932815149,2.133337291504583e-26
qwen8B_topk64,gender_female_vs_male,female,male,analysierend,0.24219119856032467,0.05382026634673882,0.18837093221358586,27.0,6.0,4.499999416666764,0.015000000000000001,0.01,71.92344684518727,2.2370992248401098e-17
qwen8B_topk64,gender_female_vs_male,female,male,arbeitsumfeld,0.46905172354414565,0.2814310341264877,0.18762068941765797,85.0,51.0,1.6666666535947716,0.1216666666666665,0.07666666666666659,28.14310341264878,1.126684313798229e-07
qwen8B_topk64,gender_female_vs_male,female,male,project,0.42521976658638316,0.2504719173043078,0.17474784928207537,73.0,43.0,1.697674402379665,0.10499999999999987,0.05999999999999995,27.11604557825295,1.9160101412028516e-07
qwen8B_topk64,gender_female_vs_male,female,male,professional,0.7445121358333563,0.5711325973516158,0.17337953848174048,146.0,112.0,1.3035714258609694,0.13833333333333325,0.11666666666666652,13.709079786928296,0.00021342017598630037
qwen8B_topk64,gender_female_vs_male,female,male,initiieren,0.47143247586350945,0.30103519543091534,0.1703972804325941,83.0,53.0,1.5660377251690996,0.10333333333333321,0.07666666666666659,22.552581233725597,2.0446961519231653e-06
qwen8B_topk64,gender_female_vs_male,female,male,projektplanung,0.4019200533487731,0.23299713237610026,0.16892292097267286,69.0,40.0,1.7249999818750006,0.10666666666666653,0.058333333333333286,26.965677292885207,2.071005204621366e-07
qwen8B_topk64,gender_female_vs_male,female,male,entscheidungsfähigkeit,0.6030186086028636,0.43437781128172376,0.16864079732113985,118.0,85.0,1.388235289550173,0.13333333333333322,0.11999999999999984,16.448708310140727,4.9984227689219124e-05
qwen8B_topk64,gender_female_vs_male,female,male,begleitung,0.46387572555850676,0.2977967620869425,0.16607896347156426,81.0,52.0,1.5576922969674558,0.09999999999999988,0.07499999999999993,21.727623792520397,3.142336968014581e-06
