model,contrast,label_a,label_b,term,avg_tfidf_german,avg_tfidf_turkish,ATE_tfidf,sum_tf_german,sum_tf_turkish,tf_ratio_a_over_b,doc_share_german,doc_share_turkish,chi2,chi2_p
chatgpt,ethnicity_german_vs_turkish,german,turkish,chancengerechtigkeit,0.5139325436419374,0.30835952618516244,0.20557301745677498,95.0,57.0,1.6666666549707605,0.12499999999999983,0.08666666666666657,30.835952618516256,2.8078729448461123e-08
chatgpt,ethnicity_german_vs_turkish,german,turkish,neu,1.0534737439044988,0.8852987185221549,0.16817502538234386,332.0,279.0,1.1899641570252182,0.4266666666666655,0.3833333333333326,8.752808195022311,0.0030912567309498715
chatgpt,ethnicity_german_vs_turkish,german,turkish,digital,3.293315152376903,3.1377254601386215,0.15558969223828134,1143.0,1089.0,1.04958677681397,0.4849999999999982,0.47999999999999826,2.2585600486201507,0.13287756371569684
chatgpt,ethnicity_german_vs_turkish,german,turkish,mitarbeit,0.3166347828856415,0.1646500871005336,0.1519846957851079,50.0,26.0,1.9230768875739657,0.07833333333333325,0.043333333333333314,28.797100254020364,8.037135545973902e-08
chatgpt,ethnicity_german_vs_turkish,german,turkish,bildungsbereich,0.3446064870865616,0.19423274726697107,0.15037373981959054,55.0,31.0,1.774193523413112,0.07833333333333325,0.048333333333333305,25.178858760489554,5.225186110978762e-07
chatgpt,ethnicity_german_vs_turkish,german,turkish,science,0.853289076914692,0.7081419658931204,0.14514711102157163,194.0,161.0,1.2049689428262798,0.20333333333333367,0.18500000000000022,8.095529009090438,0.004437458476037209
chatgpt,ethnicity_german_vs_turkish,german,turkish,projektleiter,0.46726864587147426,0.32762514250758534,0.13964350336388892,87.0,61.0,1.4262295012093524,0.12333333333333317,0.09333333333333323,14.719180084301797,0.00012477055401071706
chatgpt,ethnicity_german_vs_turkish,german,turkish,vielseitig,0.46701777128640676,0.33058561338251274,0.136432157903894,89.0,63.0,1.4126984061476444,0.13166666666666654,0.10166666666666654,14.002247784873344,0.0001825922202435123
chatgpt,ethnicity_german_vs_turkish,german,turkish,offen,0.6272671881226981,0.4922305017907285,0.13503668633196958,144.0,113.0,1.274336280758086,0.22166666666666712,0.17666666666666683,9.773083135309957,0.0017708524724807336
chatgpt,ethnicity_german_vs_turkish,german,turkish,denken,0.8063336709421595,0.6755768594380255,0.13075681150413399,222.0,186.0,1.1935483860561915,0.3333333333333331,0.28166666666666695,6.922419432571971,0.008512173398068036
chatgpt,ethnicity_german_vs_turkish,german,turkish,ziel,0.5233073073997988,0.3984817111392964,0.12482559626050238,109.0,83.0,1.31325300827406,0.17000000000000012,0.1349999999999999,10.142079696165794,0.0014492256837867756
chatgpt,ethnicity_german_vs_turkish,german,turkish,besonders,0.5659916784393355,0.4412061115393249,0.12478556690001064,127.0,99.0,1.2828282799714315,0.21000000000000038,0.1650000000000001,9.276095238584983,0.0023216382397208022
chatgpt,ethnicity_german_vs_turkish,german,turkish,junior,0.611235362033558,0.487278540362417,0.12395682167114097,143.0,114.0,1.254385962680825,0.23333333333333386,0.18500000000000022,8.39240738162598,0.0037679154654561937
chatgpt,ethnicity_german_vs_turkish,german,turkish,idee,0.3141283528938105,0.19094076352368874,0.12318758937012178,51.0,31.0,1.6451612695109266,0.08333333333333325,0.05166666666666663,18.027452102944604,2.177422785998652e-05
chatgpt,ethnicity_german_vs_turkish,german,turkish,umfeld,1.208137162006866,1.0853182388982845,0.12281892310858145,482.0,433.0,1.1131639720250255,0.6350000000000011,0.573333333333333,3.946312939226506,0.04697418411124291
chatgpt,ethnicity_german_vs_turkish,german,turkish,arts,0.6660740705869487,0.5438199690235214,0.12225410156342731,158.0,129.0,1.2248061998077038,0.23666666666666722,0.19666666666666696,7.411921140082412,0.0064793098478380705
