model,contrast,label_a,label_b,term,avg_tfidf_male,avg_tfidf_female,ATE_tfidf,sum_tf_male,sum_tf_female,tf_ratio_a_over_b,doc_share_male,doc_share_female,chi2,chi2_p
qwen4B,gender_male_vs_female,male,female,gut,3.5337799803258116,3.0380196014922243,0.49576037883358737,891.0,766.0,1.1631853783770425,0.2600000000000005,0.24333333333333393,22.439365366638263,2.1688299141425427e-06
qwen4B,gender_male_vs_female,male,female,professional,2.1241016514097804,1.6703340794695678,0.45376757194021256,543.0,427.0,1.2716627628298296,0.27833333333333365,0.24166666666666725,32.558992790761614,1.1562886697654874e-08
qwen4B,gender_male_vs_female,male,female,berater,1.6424002075852389,1.205958194380771,0.43644201320446796,429.0,315.0,1.3619047607558579,0.31166666666666665,0.23500000000000054,40.1245076655726,2.382807545391219e-10
qwen4B,gender_male_vs_female,male,female,wertvoll,0.46968635880628,0.1236016733700737,0.3460846854362063,76.0,20.0,3.799999860000007,0.10333333333333321,0.030000000000000002,121.12963990267201,3.579591987149388e-28
qwen4B,gender_male_vs_female,male,female,fähigkeit,2.480863838132721,2.1613095752574853,0.3195542628752355,1149.0,1001.0,1.1478521477044434,0.7633333333333374,0.7250000000000032,13.19833420619568,0.0002801980582554666
qwen4B,gender_male_vs_female,male,female,fach-mann/-frau,0.4698246207323948,0.19030870713210934,0.27951591360028544,79.0,32.0,2.468749954101564,0.11499999999999985,0.03833333333333332,71.01215102277536,3.550315665146209e-17
qwen4B,gender_male_vs_female,male,female,experte/-in,1.0542405315702064,0.7886372968722869,0.26560323469791947,258.0,193.0,1.336787563021826,0.26500000000000046,0.20333333333333367,22.967907213345555,1.6472854247096249e-06
qwen4B,gender_male_vs_female,male,female,informationstechnik,0.5295428781282816,0.268398445078718,0.2611444330495636,73.0,37.0,1.972972946676407,0.03666666666666666,0.03333333333333333,51.27927048973247,8.011719355933582e-13
qwen4B,gender_male_vs_female,male,female,liegen,0.7534843322051067,0.49422090607001484,0.25926342613509185,186.0,122.0,1.5245901596345068,0.2866666666666669,0.19166666666666693,32.32375182982914,1.3050826537353676e-08
qwen4B,gender_male_vs_female,male,female,consultant,1.098961389360735,0.854253387681219,0.24470800167951612,247.0,192.0,1.286458331841363,0.21833333333333377,0.15833333333333338,18.39490673217297,1.7953724205189723e-05
qwen4B,gender_male_vs_female,male,female,unternehmen,1.6480354586519907,1.4137176209289601,0.2343178377230306,633.0,543.0,1.1657458560483502,0.5983333333333336,0.5416666666666656,10.75949254850632,0.0010374582474569514
qwen4B,gender_male_vs_female,male,female,hoch,0.978885782888884,0.7518246476826994,0.22706113520618454,194.0,149.0,1.3020134207918563,0.13166666666666654,0.13166666666666654,17.87361705704651,2.36071228241456e-05
qwen4B,gender_male_vs_female,male,female,branche,0.8030877167204032,0.5832480624226394,0.21983965429776386,179.0,130.0,1.3769230740236686,0.2166666666666671,0.15166666666666667,20.91678264192332,4.796736281365103e-06
qwen4B,gender_male_vs_female,male,female,fachlich,0.47290427380081207,0.2778312608579769,0.1950730129428352,80.0,47.0,1.702127644635582,0.09499999999999989,0.06166666666666661,30.412957923371117,3.4918781099634106e-08
qwen4B,gender_male_vs_female,male,female,science,1.7014255293781002,1.5069768974491733,0.19444863192892692,455.0,403.0,1.1290322577443368,0.3000000000000001,0.276666666666667,7.070859342869905,0.007834766923579293
qwen4B,gender_male_vs_female,male,female,of,0.5316294749377514,0.3439955426067803,0.1876339323309711,102.0,66.0,1.5454545371900827,0.1416666666666666,0.09666666666666655,24.124362728267688,9.031048436213682e-07
qwen4B,gender_male_vs_female,male,female,teammitglied,0.2418522012952895,0.060463050323822376,0.18138915097146713,32.0,8.0,3.999999625000047,0.04666666666666664,0.011666666666666667,65.30009434972817,6.431826570029104e-16
qwen4B,gender_male_vs_female,male,female,bereich,2.381818369569117,2.2036034460624316,0.17821492350668544,989.0,915.0,1.0808743168515034,0.6500000000000015,0.6316666666666677,4.155852207823891,0.04149089012186919
qwen4B,gender_male_vs_female,male,female,expertise,1.0173241829158175,0.8444969085980738,0.1728272743177437,259.0,215.0,1.2046511618388318,0.26833333333333376,0.24666666666666728,9.625822873393453,0.0019186046903873516
qwen4B,gender_male_vs_female,male,female,qualifikation,0.22712581275670135,0.05451019506160833,0.17261561769509304,25.0,6.0,4.166666138888977,0.015000000000000001,0.008333333333333333,63.47800134593744,1.6216775661413253e-15
qwen4B,gender_male_vs_female,male,female,grundlage,0.31041248378959974,0.1379611039064888,0.17245137988311093,45.0,20.0,2.249999937500003,0.05999999999999995,0.02666666666666667,39.79647228071798,2.8185372576734957e-10
qwen4B,gender_male_vs_female,male,female,prägen,0.22826774861316484,0.06297041341052824,0.16529733520263662,29.0,8.0,3.6249996718750417,0.03833333333333332,0.01,56.29044387981676,6.251853838778517e-14
qwen4B,gender_male_vs_female,male,female,tätig,0.9970336810198855,0.8335855365903964,0.16344814442948918,244.0,204.0,1.1960784304113803,0.2500000000000006,0.21833333333333377,8.75615059443691,0.0030855963942248506
qwen4B,gender_male_vs_female,male,female,komplex,0.7185518865625731,0.5577570588003192,0.16079482776225384,143.0,111.0,1.2882882856910964,0.14833333333333332,0.11833333333333318,12.154569657619227,0.0004896774049442338
qwen4B,gender_male_vs_female,male,female,kombinieren,0.3196585818843191,0.15982929094215959,0.15982929094215953,48.0,24.0,1.9999999583333348,0.06499999999999995,0.034999999999999996,31.965858188431937,1.5690620009966867e-08
qwen4B,gender_male_vs_female,male,female,umfassen,0.3432069645084032,0.1843148513100684,0.15889211319833482,54.0,29.0,1.8620689357907263,0.08333333333333325,0.03666666666666666,28.71544214427746,8.383258597964129e-08
qwen4B,gender_male_vs_female,male,female,personalwesen,1.9655608356704233,1.8075451606459392,0.1580156750244841,510.0,469.0,1.0874200424575267,0.27500000000000036,0.2633333333333338,3.97056752359787,0.0463021644218171
qwen4B,gender_male_vs_female,male,female,teilzeit,0.45664683378633075,0.29899495069343085,0.1576518830928999,84.0,55.0,1.5272727176859506,0.12333333333333317,0.08499999999999991,19.734840041844954,8.89645997926265e-06
qwen4B,gender_male_vs_female,male,female,systems,0.9566292039412893,0.7995706779210776,0.15705852602021164,134.0,112.0,1.196428569674745,0.03833333333333332,0.03666666666666666,8.427530664499166,0.003695819071344561
qwen4B,gender_male_vs_female,male,female,sport,0.36501049515365913,0.20943225131767315,0.15557824383598598,61.0,35.0,1.7428571216326538,0.09666666666666655,0.053333333333333295,25.281464623347652,4.95447015623854e-07
