model,contrast,label_a,label_b,term,avg_tfidf_german,avg_tfidf_turkish,ATE_tfidf,sum_tf_german,sum_tf_turkish,tf_ratio_a_over_b,doc_share_german,doc_share_turkish,chi2,chi2_p
qwen8B,ethnicity_german_vs_turkish,german,turkish,selbstreflexion,3.499185172000626,0.88845076167342,2.610734410327206,961.0,244.0,3.938524578120801,0.2933333333333335,0.31833333333333325,932.0646832554062,1.0506981612313028e-204
qwen8B,ethnicity_german_vs_turkish,german,turkish,einstieg,2.191345862475965,1.7954304335412314,0.3959154289347335,476.0,390.0,1.2205128199474031,0.18500000000000022,0.15833333333333338,23.590341955002586,1.1918422428957673e-06
qwen8B,ethnicity_german_vs_turkish,german,turkish,augsburg,0.5591931177026406,0.3844452684205655,0.1747478492820751,96.0,66.0,1.4545454476584023,0.0899999999999999,0.07499999999999993,19.416427698008327,1.050991238141268e-05
qwen8B,ethnicity_german_vs_turkish,german,turkish,professional,0.9143476744296327,0.7401862126335117,0.17416146179612102,189.0,153.0,1.2352941161091888,0.15333333333333335,0.14499999999999996,10.999671271333902,0.0009112804880306257
qwen8B,ethnicity_german_vs_turkish,german,turkish,digitalisierung,1.2137188128223464,1.0408915385046014,0.17282727431774503,309.0,265.0,1.166037735222499,0.26500000000000046,0.2500000000000006,7.948850247366574,0.004811793636750961
qwen8B,ethnicity_german_vs_turkish,german,turkish,neu,1.088235222950378,0.9167557332733505,0.17147948967702753,330.0,278.0,1.1870503590393873,0.4033333333333324,0.34833333333333294,8.799605391321155,0.0030129570601680217
qwen8B,ethnicity_german_vs_turkish,german,turkish,personalentwicklung,0.7980592589562956,0.6331270121053283,0.1649322468509673,150.0,119.0,1.2605041994915613,0.1216666666666665,0.10166666666666654,11.40423714285507,0.0007327678441880501
qwen8B,ethnicity_german_vs_turkish,german,turkish,anwendung,0.3982458758149838,0.23345447892602506,0.16479139688895872,58.0,34.0,1.7058823321799315,0.053333333333333295,0.034999999999999996,25.793436034793547,3.7997852543123224e-07
qwen8B,ethnicity_german_vs_turkish,german,turkish,firma,0.24622665384073492,0.08490574270370169,0.16132091113703323,29.0,10.0,2.8999998100000193,0.021666666666666667,0.011666666666666667,47.15534325544043,6.55776366634998e-12
qwen8B,ethnicity_german_vs_turkish,german,turkish,besonders,0.6405971301341018,0.48044784760057585,0.16014928253352595,148.0,111.0,1.3333333303303303,0.2316666666666672,0.17333333333333348,13.727081360016424,0.00021138438960556242
qwen8B,ethnicity_german_vs_turkish,german,turkish,herausforderung,0.8753442103471191,0.7155303296198442,0.15981388072727487,241.0,197.0,1.223350252673349,0.33499999999999974,0.2800000000000003,9.63261746849339,0.0019115200182757276
qwen8B,ethnicity_german_vs_turkish,german,turkish,technologie,0.544199797874401,0.38569500237700266,0.15850479549739832,103.0,73.0,1.4109588984800152,0.13333333333333322,0.09499999999999989,16.210717721324883,5.6672576368698966e-05
qwen8B,ethnicity_german_vs_turkish,german,turkish,aufgabe,0.49229327864648736,0.3354086074294749,0.15688467121701244,91.0,62.0,1.4677419279396464,0.11833333333333318,0.09333333333333323,17.841786138405368,2.4005322558518837e-05
qwen8B,ethnicity_german_vs_turkish,german,turkish,komplex,0.63137977692548,0.4747216367860744,0.1566581401394056,133.0,100.0,1.3299999967,0.17333333333333348,0.1416666666666666,13.312580149185521,0.00026363133928985577
qwen8B,ethnicity_german_vs_turkish,german,turkish,musterstadt,0.23942219072696405,0.08287691217471832,0.15654527855224573,26.0,9.0,2.8888886790123696,0.016666666666666666,0.005,45.62176689236875,1.4343871529099445e-11
qwen8B,ethnicity_german_vs_turkish,german,turkish,ki,0.3533274361721695,0.19786336425641493,0.15546407191575456,50.0,28.0,1.785714257653062,0.048333333333333305,0.030000000000000002,26.30930447805077,2.908839111800689e-07
qwen8B,ethnicity_german_vs_turkish,german,turkish,analytics,1.2916247438315567,1.1369936125277784,0.15463113130377826,284.0,250.0,1.135999999456,0.1783333333333335,0.17666666666666683,5.90725670149258,0.015078635615325731
