model,contrast,label_a,label_b,term,avg_tfidf_female,avg_tfidf_male,ATE_tfidf,sum_tf_female,sum_tf_male,tf_ratio_a_over_b,doc_share_female,doc_share_male,chi2,chi2_p
qwen4B_topk64,gender_female_vs_male,female,male,fachkraft,1.023851801648403,0.12676260401361172,0.8970891976347913,210.0,26.0,8.076922804733737,0.2566666666666672,0.034999999999999996,419.655285673225,2.9005308432346644e-93
qwen4B_topk64,gender_female_vs_male,female,male,international,3.9954435913988253,3.5768733103951384,0.4185702810036869,1680.0,1504.0,1.117021276517938,0.6650000000000018,0.6400000000000012,13.882230425247489,0.0001946299511314239
qwen4B_topk64,gender_female_vs_male,female,male,gut,3.1160425904728983,2.7222359808793897,0.39380660959350866,815.0,712.0,1.1446629211451362,0.29500000000000015,0.2533333333333339,15.937949229127808,6.545315085084478e-05
qwen4B_topk64,gender_female_vs_male,female,male,motiviert,0.6582538261517276,0.2864157869515153,0.37183803920021224,131.0,57.0,2.2982455912588495,0.1800000000000002,0.08666666666666657,87.81706883239065,7.179668721826496e-21
qwen4B_topk64,gender_female_vs_male,female,male,bereich,2.360786489833933,2.102945079621612,0.257841410212321,998.0,889.0,1.1226096736528575,0.6916666666666691,0.6233333333333342,8.93631596602325,0.002795559862365027
qwen4B_topk64,gender_female_vs_male,female,male,fachperson,0.2793653778774569,0.02328044815645473,0.25608492972100216,36.0,3.0,11.999996333334554,0.04666666666666664,0.005,130.01234893527788,4.072362309140068e-30
qwen4B_topk64,gender_female_vs_male,female,male,erfahren,1.2905990117277724,1.042061383019176,0.2485376287085963,431.0,348.0,1.2385057464410754,0.4783333333333316,0.4233333333333322,15.888541604221082,6.718424180919281e-05
qwen4B_topk64,gender_female_vs_male,female,male,informationstechnologie,0.8277383356661403,0.5904533461085133,0.237284989557627,150.0,107.0,1.4018691551227183,0.09333333333333323,0.10499999999999987,23.820827745473824,1.0573217673963262e-06
qwen4B_topk64,gender_female_vs_male,female,male,breit,0.7572339838663895,0.5340031562525975,0.22323082761379198,173.0,122.0,1.4180327834587476,0.22833333333333383,0.1650000000000001,23.155468898243853,1.4941764861559687e-06
qwen4B_topk64,gender_female_vs_male,female,male,person,0.27717863537454634,0.07294174615119639,0.20423688922334995,38.0,10.0,3.799999720000028,0.053333333333333295,0.015000000000000001,71.48291122817247,2.796698288590831e-17
qwen4B_topk64,gender_female_vs_male,female,male,grundlage,0.36906142168073497,0.1671221532139178,0.20193926846681717,53.0,24.0,2.208333282986113,0.05499999999999996,0.028333333333333335,45.6330294976964,1.426163343270768e-11
qwen4B_topk64,gender_female_vs_male,female,male,einsetzen,0.8091140141428603,0.6079057672396094,0.2012082469032509,189.0,142.0,1.330985913162071,0.23500000000000054,0.18166666666666687,17.142213180277096,3.468283339743198e-05
qwen4B_topk64,gender_female_vs_male,female,male,rolle,0.6697051874704991,0.47380503059137397,0.19590015687912515,147.0,104.0,1.4134615344859467,0.21000000000000038,0.14333333333333328,20.136350786778635,7.211301407843391e-06
qwen4B_topk64,gender_female_vs_male,female,male,personalentwicklung,0.8990874571949324,0.7080313725410096,0.19105608465392288,160.0,126.0,1.2698412676996724,0.09999999999999988,0.08666666666666657,13.62777666762247,0.00022286363864084508
qwen4B_topk64,gender_female_vs_male,female,male,weiterentwickeln,0.5560488412570069,0.36540352425460443,0.1906453170024025,105.0,69.0,1.5217391228733461,0.13333333333333322,0.09333333333333323,23.666315214091288,1.1457044916215303e-06
qwen4B_topk64,gender_female_vs_male,female,male,verfügen,1.290434342184717,1.1018323998654123,0.18860194231930483,390.0,333.0,1.1711711706571437,0.3866666666666659,0.3599999999999995,8.921419678174562,0.0028184533615881325
qwen4B_topk64,gender_female_vs_male,female,male,umfassend,0.49581350638801747,0.30988344149251096,0.1859300648955065,88.0,55.0,1.5999999890909093,0.10499999999999987,0.07999999999999992,25.74416283168552,3.8980419046173403e-07
