word
abgeschwächt
abhäng
abschwäch
ahnung
allfäll
allgemein
allzu
andeut
anfrag
angeblich
angedeut
angezweifelt
anmerkung
annahm
annehm
annimm
anpass
anschein
anteil
anzweif
bedenk
befrist
beinahe
beunruhig
bisschen
chance
circa
darf
durchaus
durft
dürf
eher
ehesten
eigentlich
eracht
erhoff
erschein
erschien
erstmal
erwäg
etwa
eventuell
evtl
falls
fast
frag
ganz
gedurft
gefragt
gehofft
gelegentlich
geraten
geschlichen
gewettet
gezweifelt
glaub
glück
grenze
gäb
halbwegs
hauptsächlich
heikel
hinterfrag
hoff
hypothe
häufig
indirekt
insgesamt
irgend
jederzeit
jemals
jemand
kaum
knapp
könn
machbar
mal
manch
marginal
mehrheitlich
meinung
meist
möcht
mög
mutgemaß
mutmaß
myster
nachfrag
nahezu
oder
oft
option
potenziell
praktisch
probier
provisorisch
quasi
rand
rate
relativ
schein
schien
schleich
schwammig
schätz
skeptisch
sozusagen
subtil
teilweise
tendenz
theoret
theorie
typischerweise
umfrag
unbestimmt
undeutlich
unentschlossen
ungefähr
ungenau
ungewiss
unklar
unschlüssig
unsicher
unwahrscheinlich
unwissentlich
vag
variier
vermein
vermut
verschwommen
versuch
verunsich
verwechsel
verwirr
verwisch
viel
vorahn
voraus
vorläufig
vorsichtig
wackelig
wahrscheinlich
war
wenig
wenn
wette
willkürlich
wohl
womöglich
wunder
wär
würd
ziemlich
zufall
zufäll
zugeteilt
zweifel
zöger
änderung
öfter
