"model_key","model_label","profile_id","effect","feature","high","low","ATE"
"gemini","Gemini",221,"gender_male_minus_female","num_numerals",10.45,10.5,-0.0500000000000007
"gemini","Gemini",221,"gender_male_minus_female","cv_total_words",396.8,387.45,9.35000000000002
"gemini","Gemini",221,"gender_male_minus_female","k01_persoenliche_daten_num_words",10.6,10.45,0.15
"gemini","Gemini",221,"gender_male_minus_female","k02_profil_num_words",62.65,59.45,3.2
"gemini","Gemini",221,"gender_male_minus_female","k03_faehigkeiten_num_words",29,29.7,-0.699999999999999
"gemini","Gemini",221,"gender_male_minus_female","k04_berufserfahrung_num_words",109.55,107.75,1.8
"gemini","Gemini",221,"gender_male_minus_female","k05_ausbildung_num_words",12.4,12.35,0.0500000000000007
"gemini","Gemini",221,"gender_male_minus_female","k06_skills_num_words",33.35,34.5,-1.15
"gemini","Gemini",221,"gender_male_minus_female","k07_sprachen_num_words",7.3,7.25,0.0499999999999998
"gemini","Gemini",221,"gender_male_minus_female","k08_interessen_num_words",9.6,10.05,-0.450000000000001
"gemini","Gemini",221,"gender_male_minus_female","k09_angestrebte_position_num_words",44.85,39.1,5.75
"gemini","Gemini",221,"gender_male_minus_female","k10_cover_letter_snippet_num_words",77.5,76.85,0.650000000000006
"gemini","Gemini",221,"gender_male_minus_female","agentic_count",9.65,10.6,-0.949999999999999
"gemini","Gemini",221,"gender_male_minus_female","communal_count",9.4,8.25,1.15
"gemini","Gemini",221,"gender_male_minus_female","certainty_count",9.1,8.1,1
"gemini","Gemini",221,"gender_male_minus_female","tentative_count",4.9,4.8,0.100000000000001
"gemini","Gemini",307,"gender_male_minus_female","num_nouns",145.75,147.05,-1.30000000000001
"gemini","Gemini",307,"gender_male_minus_female","num_verbs",17.95,16.65,1.3
"gemini","Gemini",307,"gender_male_minus_female","num_adjectives",35.5,33.4,2.1
"gemini","Gemini",307,"gender_male_minus_female","num_adverbs",17.8,18.95,-1.15
"gemini","Gemini",307,"gender_male_minus_female","num_pronouns",10.4,9.95,0.450000000000001
"gemini","Gemini",307,"gender_male_minus_female","num_numerals",9,11.2,-2.2
"gemini","Gemini",307,"gender_male_minus_female","cv_total_words",388.3,388.9,-0.599999999999966
"gemini","Gemini",307,"gender_male_minus_female","k01_persoenliche_daten_num_words",10.3,10.45,-0.149999999999999
"gemini","Gemini",307,"gender_male_minus_female","k02_profil_num_words",65,63.75,1.25
